date,campaign_name,campaign_type,impressions,clicks,cost,conversions,conversion_value
2024-06-01,Brand - Search Exact,Search,1933,213,213.81,39.65,3766.7
2024-06-02,Brand - Search Exact,Search,1509,166,167.92,34.24,3252.67
2024-06-03,Brand - Search Exact,Search,2374,261,262.13,60.29,5727.69
2024-06-04,Brand - Search Exact,Search,2822,310,271.37,37.33,3546.47
2024-06-05,Brand - Search Exact,Search,1846,203,161.33,19.19,1823.23
2024-06-06,Brand - Search Exact,Search,1755,193,181.4,44.54,4231.6
2024-06-07,Brand - Search Exact,Search,1846,203,234.76,34.43,3271.13
2024-06-08,Brand - Search Exact,Search,1634,180,191.8,46.85,4451.17
2024-06-09,Brand - Search Exact,Search,1882,207,202.52,38.96,3700.88
2024-06-10,Brand - Search Exact,Search,1882,207,197.03,32.81,3116.55
2024-06-11,Brand - Search Exact,Search,2611,287,269.25,45.73,4344.81
2024-06-12,Brand - Search Exact,Search,2682,295,264.49,73.22,6955.49
2024-06-13,Brand - Search Exact,Search,2279,251,232.79,70.56,6703.42
2024-06-14,Brand - Search Exact,Search,3163,348,281.91,43.15,4099.55
2024-06-15,Brand - Search Exact,Search,2092,230,221.56,38.53,3660.49
2024-06-16,Brand - Search Exact,Search,1618,178,174.57,43.54,4136.4
2024-06-17,Brand - Search Exact,Search,2610,287,246.26,30.36,2884.19
2024-06-18,Brand - Search Exact,Search,1681,185,194.0,37.34,3546.86
2024-06-19,Brand - Search Exact,Search,2837,312,270.17,40.95,3890.41
2024-06-20,Brand - Search Exact,Search,2334,257,228.69,41.14,3907.91
2024-06-21,Brand - Search Exact,Search,2223,244,223.3,28.74,2730.08
2024-06-22,Brand - Search Exact,Search,2140,235,180.74,20.03,1902.48
2024-06-23,Brand - Search Exact,Search,2418,266,254.72,21.43,2035.46
2024-06-24,Brand - Search Exact,Search,2791,307,224.83,26.5,2517.51
2024-06-25,Brand - Search Exact,Search,2115,233,214.11,31.34,2976.84
2024-06-26,Brand - Search Exact,Search,1931,212,217.16,33.22,3155.89
2024-06-27,Brand - Search Exact,Search,2591,285,254.75,71.36,6779.27
2024-06-28,Brand - Search Exact,Search,2243,247,247.33,54.66,5192.76
2024-06-29,Brand - Search Exact,Search,2068,228,220.76,27.46,2608.29
2024-06-30,Brand - Search Exact,Search,2329,256,221.57,40.76,3872.5
2024-07-01,Brand - Search Exact,Search,3532,388,330.73,40.74,3869.92
2024-07-02,Brand - Search Exact,Search,1985,218,209.16,32.54,3091.24
2024-07-03,Brand - Search Exact,Search,2289,252,205.3,37.03,3517.65
2024-07-04,Brand - Search Exact,Search,2206,243,194.54,40.75,3871.65
2024-07-05,Brand - Search Exact,Search,2936,323,251.75,35.8,3400.93
2024-07-06,Brand - Search Exact,Search,2602,286,244.36,53.59,5091.28
2024-07-07,Brand - Search Exact,Search,2263,249,195.46,24.1,2289.57
2024-07-08,Brand - Search Exact,Search,1623,179,193.96,33.85,3215.29
