date,campaign_name,adset_name,impressions,clicks,spend,purchases,purchase_conversion_value
2024-06-01,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,62155,808,575.15,44,3165.73
2024-06-02,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,66342,862,723.25,55,3946.51
2024-06-03,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,81514,1060,998.56,127,9174.89
2024-06-04,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,37320,485,495.86,60,4314.73
2024-06-05,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,123910,1611,1207.4,85,6104.62
2024-06-06,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,69642,905,756.89,59,4256.01
2024-06-07,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,69107,898,810.33,66,4731.48
2024-06-08,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,43412,564,597.24,56,4000.6
2024-06-09,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,50297,654,645.91,45,3234.84
2024-06-10,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,68892,896,756.72,44,3196.4
2024-06-11,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,53611,697,605.44,66,4750.8
2024-06-12,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,44522,579,632.84,50,3629.31
2024-06-13,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,82482,1072,905.88,86,6215.74
2024-06-14,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,40459,526,553.75,74,5329.68
2024-06-15,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,68661,893,701.6,63,4553.98
2024-06-16,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,52932,688,606.52,54,3886.77
2024-06-17,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,50331,654,616.8,128,9234.65
2024-06-18,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,98721,1283,1046.15,76,5481.58
2024-06-19,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,54725,711,618.04,35,2552.98
2024-06-20,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,58458,760,599.08,44,3177.73
2024-06-21,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,61195,796,710.24,87,6261.18
2024-06-22,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,49061,638,566.1,31,2244.37
2024-06-23,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,54087,703,651.12,41,2939.6
2024-06-24,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,66372,863,756.4,80,5736.6
2024-06-25,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,77749,1011,767.61,53,3834.76
2024-06-26,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,58517,761,719.95,53,3841.24
2024-06-27,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,59190,769,649.07,70,5071.52
2024-06-28,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,64752,842,827.32,49,3539.94
2024-06-29,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,44427,578,639.13,32,2338.19
2024-06-30,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,52071,677,596.72,32,2272.39
2024-07-01,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,82856,1077,934.16,79,5686.29
2024-07-02,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,59220,770,700.55,58,4205.7
2024-07-03,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,64168,834,871.92,51,3699.66
2024-07-04,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,78748,1024,893.74,45,3272.39
2024-07-05,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,79349,1032,903.98,60,4305.3
2024-07-06,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,56194,731,718.58,77,5542.34
2024-07-07,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,47383,616,634.73,39,2812.2
2024-07-08,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,59145,769,709.69,45,3220.33
2024-07-09,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,62712,815,687.36,37,2684.34
2024-07-10,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,43349,564,486.48,37,2628.47
2024-07-11,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,64033,832,818.17,67,4819.64
2024-07-12,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,65120,847,751.54,107,7727.7
2024-07-13,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,68971,897,738.45,60,4318.01
2024-07-14,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,47394,616,623.5,49,3507.94
2024-07-15,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,69815,908,811.69,78,5609.76
2024-07-16,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,54944,714,562.25,56,4056.07
2024-07-17,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,43938,571,583.98,40,2850.6
2024-07-18,TOF Prospecting - Lookalike 1pct,LAL 1% Purchasers,44301,576,461.76,78,5613.02
